,group_name,group_size,mean_regend_Base,std_regend_Base,mean_regend_Anh,std_regend_Anh,mean_hindsight,std_hindsight
0,young,22792,37.39903340793991,1.041275340247203,14.00806712947213,0.4110856065800234,421.89447988322956,0.022426199720617403
1,middle,16881,20.11409896650638,1.10518111608922,14.92738307272234,0.6258351384524983,608.1494196163457,0.016759068293114528
2,old,9858,22.993682781820667,0.7362069763979894,14.812504885553329,0.7477416357125454,414.61269376872633,0.016378936124544587
3,HighSchool&less,22584,33.0219698582978,1.2139769665556488,14.377044082080397,0.5142675840945127,499.5502830389788,0.010836676420199998
4,College&more,26947,28.666882065260257,1.5410366377208917,10.55294777295785,1.0836017708427994,963.924273462032,0.018245147741329966
5,Male,33174,20.950312069599136,0.861275867702062,-2.1746182659486974,0.7746135962090013,1171.0639366247992,0.016374538083761388
6,Female,16357,18.82427800876153,0.5447718018866574,5.190348275793855,0.6864777810925459,314.32488172140756,0.018327676966666002
7,White,42441,14.66905256499815,0.7620196587600278,-17.42086541155038,0.9827187758772573,1325.5032818180903,0.01369033975363305
8,Asian-Pac-Islander,1519,5.821873375574743,0.2305351582971259,4.657295300417101,0.214264789852381,55.05364571292487,0.04066165427900455
9,Amer-Indian-Eskimo,471,3.54634087305638,0.11719341428490128,3.475703663071021,0.4446745804673785,9.043618472750161,0.005525303510818795
10,Other,406,3.2781887701746064,0.23640154401620217,3.2102499059622085,0.24099031876390478,7.503426863580421,0.03986500973033732
11,Black,4694,6.160053155534463,0.3853146970047901,2.7942652129192367,0.36316766612090123,94.58392681788463,0.19862368262785643
12,always_on,49531,18.24651037295332,0.661261343455016,-18.51234969556915,0.9391669049580569,1506.9168980516238,0.014025854724673409
